era,region,variant,shoot_type,clothes,background,full_prompt
70s,Midwest,1,studio,"super wide bell bottoms dragging on the ground, a shiny polyester shirt unbuttoned to the navel with a massive pointed collar, a floor-length fur coat draped off the shoulders, platform shoes adding four inches, and a wide-brim hat cocked to the side","a professional photography studio with a deep burgundy seamless paper backdrop, one warm spotlight from the left casting a long shadow, and the floor reflecting the light","Take this exact person and place them into a hip hop album cover photograph. Change their clothes to super wide bell bottoms dragging on the ground, a shiny polyester shirt unbuttoned to the navel with a massive pointed collar, a floor-length fur coat draped off the shoulders, platform shoes adding four inches, and a wide-brim hat cocked to the side. Place them in a professional photography studio with a deep burgundy seamless paper backdrop, one warm spotlight from the left casting a long shadow, and the floor reflecting the light. The mood channels Midwest energy — grey overcast sky, industrial brick and rust, chain-link fences, cold breath visible, quiet intensity of a Chicago or Detroit winter. In the style of Joe Conzo's block party documentation and early Jamel Shabazz street portraits. Shot on a Contax G2 with on-camera flash, Kodak Tri-X 400 black and white film pushed to 1600. Medium shot framed from the waist up. Harsh direct flash, deep blacks, gritty grain, documentary and unstaged. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
70s,Midwest,1,props,"super wide bell bottoms dragging on the ground, a shiny polyester shirt unbuttoned to the navel with a massive pointed collar, a floor-length fur coat draped off the shoulders, platform shoes adding four inches, and a wide-brim hat cocked to the side","standing next to a massive wall of stacked speakers and amplifiers on a sidewalk, turntables set up on milk crates, cables running everywhere, a crowd forming behind — the original sound system culture","Take this exact person and place them into a hip hop album cover photograph. Change their clothes to super wide bell bottoms dragging on the ground, a shiny polyester shirt unbuttoned to the navel with a massive pointed collar, a floor-length fur coat draped off the shoulders, platform shoes adding four inches, and a wide-brim hat cocked to the side. They are standing next to a massive wall of stacked speakers and amplifiers on a sidewalk, turntables set up on milk crates, cables running everywhere, a crowd forming behind — the original sound system culture. The mood channels Midwest energy — grey overcast sky, industrial brick and rust, chain-link fences, cold breath visible, quiet intensity of a Chicago or Detroit winter. In the style of Joe Conzo's block party documentation and early Jamel Shabazz street portraits. Shot on a Contax G2 with on-camera flash, Kodak Tri-X 400 black and white film pushed to 1600. Medium shot framed from the waist up. Harsh direct flash, deep blacks, gritty grain, documentary and unstaged. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
70s,Midwest,2,outdoor,"high-waisted flared trousers with a razor crease, a skin-tight ribbed turtleneck, a full-length leather trench coat belted at the waist, and knee-high leather boots with a chunky heel","a Harlem brownstone stoop in the dead of summer with a fire hydrant spraying into the street, laundry lines strung between buildings, and a long sedan parked at the curb with the doors open","Take this exact person and place them into a hip hop album cover photograph. Change their clothes to high-waisted flared trousers with a razor crease, a skin-tight ribbed turtleneck, a full-length leather trench coat belted at the waist, and knee-high leather boots with a chunky heel. Place them in front of a Harlem brownstone stoop in the dead of summer with a fire hydrant spraying into the street, laundry lines strung between buildings, and a long sedan parked at the curb with the doors open. The mood channels Midwest energy — grey overcast sky, industrial brick and rust, chain-link fences, cold breath visible, quiet intensity of a Chicago or Detroit winter. In the style of Joe Conzo's block party documentation and early Jamel Shabazz street portraits. Shot on a Contax G2 with on-camera flash, Kodak Tri-X 400 black and white film pushed to 1600. Medium shot framed from the waist up. Harsh direct flash, deep blacks, gritty grain, documentary and unstaged. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
70s,Midwest,2,studio,"high-waisted flared trousers with a razor crease, a skin-tight ribbed turtleneck, a full-length leather trench coat belted at the waist, and knee-high leather boots with a chunky heel","a photography studio with a mustard yellow seamless backdrop lit with soft even light from both sides, a slight vignette at the edges, clean and warm","Take this exact person and place them into a hip hop album cover photograph. Change their clothes to high-waisted flared trousers with a razor crease, a skin-tight ribbed turtleneck, a full-length leather trench coat belted at the waist, and knee-high leather boots with a chunky heel. Place them in a photography studio with a mustard yellow seamless backdrop lit with soft even light from both sides, a slight vignette at the edges, clean and warm. The mood channels Midwest energy — grey overcast sky, industrial brick and rust, chain-link fences, cold breath visible, quiet intensity of a Chicago or Detroit winter. In the style of Joe Conzo's block party documentation and early Jamel Shabazz street portraits. Shot on a Contax G2 with on-camera flash, Kodak Tri-X 400 black and white film pushed to 1600. Medium shot framed from the waist up. Harsh direct flash, deep blacks, gritty grain, documentary and unstaged. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
70s,Midwest,2,props,"high-waisted flared trousers with a razor crease, a skin-tight ribbed turtleneck, a full-length leather trench coat belted at the waist, and knee-high leather boots with a chunky heel","leaning on a customized van with an airbrushed mural on the side panel, chrome bumpers, and shag carpet visible through the open sliding door, parked on a city street at golden hour","Take this exact person and place them into a hip hop album cover photograph. Change their clothes to high-waisted flared trousers with a razor crease, a skin-tight ribbed turtleneck, a full-length leather trench coat belted at the waist, and knee-high leather boots with a chunky heel. They are leaning on a customized van with an airbrushed mural on the side panel, chrome bumpers, and shag carpet visible through the open sliding door, parked on a city street at golden hour. The mood channels Midwest energy — grey overcast sky, industrial brick and rust, chain-link fences, cold breath visible, quiet intensity of a Chicago or Detroit winter. In the style of Joe Conzo's block party documentation and early Jamel Shabazz street portraits. Shot on a Contax G2 with on-camera flash, Kodak Tri-X 400 black and white film pushed to 1600. Medium shot framed from the waist up. Harsh direct flash, deep blacks, gritty grain, documentary and unstaged. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
70s,Midwest,3,outdoor,"an oversized dashiki hanging past the hips over extra-wide corduroy bell bottoms, a beaded kufi cap, wooden bead necklaces layered three deep, and suede desert boots","a concrete basketball court with chain-link fences and rust, project towers rising behind, the sky deep orange at sunset, and a circle of onlookers in the background","Take this exact person and place them into a hip hop album cover photograph. Change their clothes to an oversized dashiki hanging past the hips over extra-wide corduroy bell bottoms, a beaded kufi cap, wooden bead necklaces layered three deep, and suede desert boots. Place them in front of a concrete basketball court with chain-link fences and rust, project towers rising behind, the sky deep orange at sunset, and a circle of onlookers in the background. The mood channels Midwest energy — grey overcast sky, industrial brick and rust, chain-link fences, cold breath visible, quiet intensity of a Chicago or Detroit winter. In the style of Joe Conzo's block party documentation and early Jamel Shabazz street portraits. Shot on a Contax G2 with on-camera flash, Kodak Tri-X 400 black and white film pushed to 1600. Medium shot framed from the waist up. Harsh direct flash, deep blacks, gritty grain, documentary and unstaged. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
70s,Midwest,3,studio,"an oversized dashiki hanging past the hips over extra-wide corduroy bell bottoms, a beaded kufi cap, wooden bead necklaces layered three deep, and suede desert boots",a photography studio with a jet black seamless backdrop and a single harsh spotlight from directly above creating dramatic shadows under the chin and hat brim,"Take this exact person and place them into a hip hop album cover photograph. Change their clothes to an oversized dashiki hanging past the hips over extra-wide corduroy bell bottoms, a beaded kufi cap, wooden bead necklaces layered three deep, and suede desert boots. Place them in a photography studio with a jet black seamless backdrop and a single harsh spotlight from directly above creating dramatic shadows under the chin and hat brim. The mood channels Midwest energy — grey overcast sky, industrial brick and rust, chain-link fences, cold breath visible, quiet intensity of a Chicago or Detroit winter. In the style of Joe Conzo's block party documentation and early Jamel Shabazz street portraits. Shot on a Contax G2 with on-camera flash, Kodak Tri-X 400 black and white film pushed to 1600. Medium shot framed from the waist up. Harsh direct flash, deep blacks, gritty grain, documentary and unstaged. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
70s,Midwest,3,props,"an oversized dashiki hanging past the hips over extra-wide corduroy bell bottoms, a beaded kufi cap, wooden bead necklaces layered three deep, and suede desert boots","sitting on the hood of a long convertible Cadillac with the top down, parked on a Harlem block, eight-track tapes scattered on the dashboard, a fur coat draped over the windshield","Take this exact person and place them into a hip hop album cover photograph. Change their clothes to an oversized dashiki hanging past the hips over extra-wide corduroy bell bottoms, a beaded kufi cap, wooden bead necklaces layered three deep, and suede desert boots. They are sitting on the hood of a long convertible Cadillac with the top down, parked on a Harlem block, eight-track tapes scattered on the dashboard, a fur coat draped over the windshield. The mood channels Midwest energy — grey overcast sky, industrial brick and rust, chain-link fences, cold breath visible, quiet intensity of a Chicago or Detroit winter. In the style of Joe Conzo's block party documentation and early Jamel Shabazz street portraits. Shot on a Contax G2 with on-camera flash, Kodak Tri-X 400 black and white film pushed to 1600. Medium shot framed from the waist up. Harsh direct flash, deep blacks, gritty grain, documentary and unstaged. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
70s,Midwest,4,outdoor,"a three-piece suit with lapels wide as airplane wings, a butterfly collar silk shirt, a pocket square bursting out the breast pocket, a fedora tilted way back, and two-tone spectator shoes","a vacant lot in the South Bronx with rubble and wildflowers pushing through cracked concrete, a burned-out tenement behind, and elevated train tracks casting shadows across everything","Take this exact person and place them into a hip hop album cover photograph. Change their clothes to a three-piece suit with lapels wide as airplane wings, a butterfly collar silk shirt, a pocket square bursting out the breast pocket, a fedora tilted way back, and two-tone spectator shoes. Place them in front of a vacant lot in the South Bronx with rubble and wildflowers pushing through cracked concrete, a burned-out tenement behind, and elevated train tracks casting shadows across everything. The mood channels Midwest energy — grey overcast sky, industrial brick and rust, chain-link fences, cold breath visible, quiet intensity of a Chicago or Detroit winter. In the style of Joe Conzo's block party documentation and early Jamel Shabazz street portraits. Shot on a Contax G2 with on-camera flash, Kodak Tri-X 400 black and white film pushed to 1600. Medium shot framed from the waist up. Harsh direct flash, deep blacks, gritty grain, documentary and unstaged. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
70s,Midwest,4,studio,"a three-piece suit with lapels wide as airplane wings, a butterfly collar silk shirt, a pocket square bursting out the breast pocket, a fedora tilted way back, and two-tone spectator shoes","a photography studio with a burnt orange seamless backdrop and golden rim light from behind creating a halo around the silhouette, the front slightly underexposed","Take this exact person and place them into a hip hop album cover photograph. Change their clothes to a three-piece suit with lapels wide as airplane wings, a butterfly collar silk shirt, a pocket square bursting out the breast pocket, a fedora tilted way back, and two-tone spectator shoes. Place them in a photography studio with a burnt orange seamless backdrop and golden rim light from behind creating a halo around the silhouette, the front slightly underexposed. The mood channels Midwest energy — grey overcast sky, industrial brick and rust, chain-link fences, cold breath visible, quiet intensity of a Chicago or Detroit winter. In the style of Joe Conzo's block party documentation and early Jamel Shabazz street portraits. Shot on a Contax G2 with on-camera flash, Kodak Tri-X 400 black and white film pushed to 1600. Medium shot framed from the waist up. Harsh direct flash, deep blacks, gritty grain, documentary and unstaged. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
70s,Midwest,4,props,"a three-piece suit with lapels wide as airplane wings, a butterfly collar silk shirt, a pocket square bursting out the breast pocket, a fedora tilted way back, and two-tone spectator shoes","standing in front of a wall of graffiti-covered subway cars in a train yard, holding a massive portable radio the size of a suitcase, spray cans stuffed in every pocket","Take this exact person and place them into a hip hop album cover photograph. Change their clothes to a three-piece suit with lapels wide as airplane wings, a butterfly collar silk shirt, a pocket square bursting out the breast pocket, a fedora tilted way back, and two-tone spectator shoes. They are standing in front of a wall of graffiti-covered subway cars in a train yard, holding a massive portable radio the size of a suitcase, spray cans stuffed in every pocket. The mood channels Midwest energy — grey overcast sky, industrial brick and rust, chain-link fences, cold breath visible, quiet intensity of a Chicago or Detroit winter. In the style of Joe Conzo's block party documentation and early Jamel Shabazz street portraits. Shot on a Contax G2 with on-camera flash, Kodak Tri-X 400 black and white film pushed to 1600. Medium shot framed from the waist up. Harsh direct flash, deep blacks, gritty grain, documentary and unstaged. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
70s,Midwest,5,outdoor,"a cropped halter vest with nothing underneath showing chest, ultra-wide palazzo pants pooling at the feet, a headband pushing back an afro, oversized tinted aviator glasses, and a single long chain with a medallion the size of a fist","outside a record shop with milk crates full of vinyl spilling onto the sidewalk, a graffiti-tagged roll-down gate half raised, and a long coupe double-parked with the engine running","Take this exact person and place them into a hip hop album cover photograph. Change their clothes to a cropped halter vest with nothing underneath showing chest, ultra-wide palazzo pants pooling at the feet, a headband pushing back an afro, oversized tinted aviator glasses, and a single long chain with a medallion the size of a fist. Place them in front of outside a record shop with milk crates full of vinyl spilling onto the sidewalk, a graffiti-tagged roll-down gate half raised, and a long coupe double-parked with the engine running. The mood channels Midwest energy — grey overcast sky, industrial brick and rust, chain-link fences, cold breath visible, quiet intensity of a Chicago or Detroit winter. In the style of Joe Conzo's block party documentation and early Jamel Shabazz street portraits. Shot on a Contax G2 with on-camera flash, Kodak Tri-X 400 black and white film pushed to 1600. Medium shot framed from the waist up. Harsh direct flash, deep blacks, gritty grain, documentary and unstaged. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
70s,Midwest,5,studio,"a cropped halter vest with nothing underneath showing chest, ultra-wide palazzo pants pooling at the feet, a headband pushing back an afro, oversized tinted aviator glasses, and a single long chain with a medallion the size of a fist","a photography studio with a cream white seamless backdrop and flat bright lighting from all angles, no shadows, clean and graphic like a fashion editorial","Take this exact person and place them into a hip hop album cover photograph. Change their clothes to a cropped halter vest with nothing underneath showing chest, ultra-wide palazzo pants pooling at the feet, a headband pushing back an afro, oversized tinted aviator glasses, and a single long chain with a medallion the size of a fist. Place them in a photography studio with a cream white seamless backdrop and flat bright lighting from all angles, no shadows, clean and graphic like a fashion editorial. The mood channels Midwest energy — grey overcast sky, industrial brick and rust, chain-link fences, cold breath visible, quiet intensity of a Chicago or Detroit winter. In the style of Joe Conzo's block party documentation and early Jamel Shabazz street portraits. Shot on a Contax G2 with on-camera flash, Kodak Tri-X 400 black and white film pushed to 1600. Medium shot framed from the waist up. Harsh direct flash, deep blacks, gritty grain, documentary and unstaged. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
70s,Midwest,5,props,"a cropped halter vest with nothing underneath showing chest, ultra-wide palazzo pants pooling at the feet, a headband pushing back an afro, oversized tinted aviator glasses, and a single long chain with a medallion the size of a fist","posed next to a fire escape with a reel-to-reel tape deck and a crate of vinyl records stacked on the steps, a stripped-down microphone on a stand, and a single spotlight clamped to the railing","Take this exact person and place them into a hip hop album cover photograph. Change their clothes to a cropped halter vest with nothing underneath showing chest, ultra-wide palazzo pants pooling at the feet, a headband pushing back an afro, oversized tinted aviator glasses, and a single long chain with a medallion the size of a fist. They are posed next to a fire escape with a reel-to-reel tape deck and a crate of vinyl records stacked on the steps, a stripped-down microphone on a stand, and a single spotlight clamped to the railing. The mood channels Midwest energy — grey overcast sky, industrial brick and rust, chain-link fences, cold breath visible, quiet intensity of a Chicago or Detroit winter. In the style of Joe Conzo's block party documentation and early Jamel Shabazz street portraits. Shot on a Contax G2 with on-camera flash, Kodak Tri-X 400 black and white film pushed to 1600. Medium shot framed from the waist up. Harsh direct flash, deep blacks, gritty grain, documentary and unstaged. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
70s,International,1,outdoor,"super wide bell bottoms dragging on the ground, a shiny polyester shirt unbuttoned to the navel with a massive pointed collar, a floor-length fur coat draped off the shoulders, platform shoes adding four inches, and a wide-brim hat cocked to the side","a South Bronx sidewalk at dusk with a DJ's turntable wired to a streetlight on a folding table, kids gathered on the curb, and handball court walls covered in early spray paint tags","Take this exact person and place them into a hip hop album cover photograph. Change their clothes to super wide bell bottoms dragging on the ground, a shiny polyester shirt unbuttoned to the navel with a massive pointed collar, a floor-length fur coat draped off the shoulders, platform shoes adding four inches, and a wide-brim hat cocked to the side. Place them in front of a South Bronx sidewalk at dusk with a DJ's turntable wired to a streetlight on a folding table, kids gathered on the curb, and handball court walls covered in early spray paint tags. The mood channels global hip hop energy — neon-lit foreign city streets, cosmopolitan grit, the visual language of Tokyo, Paris, and London street culture blending together. In the style of Joe Conzo's block party documentation and early Jamel Shabazz street portraits. Shot on a Contax G2 with on-camera flash, Kodak Tri-X 400 black and white film pushed to 1600. Medium shot framed from the waist up. Harsh direct flash, deep blacks, gritty grain, documentary and unstaged. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
70s,International,1,studio,"super wide bell bottoms dragging on the ground, a shiny polyester shirt unbuttoned to the navel with a massive pointed collar, a floor-length fur coat draped off the shoulders, platform shoes adding four inches, and a wide-brim hat cocked to the side","a professional photography studio with a deep burgundy seamless paper backdrop, one warm spotlight from the left casting a long shadow, and the floor reflecting the light","Take this exact person and place them into a hip hop album cover photograph. Change their clothes to super wide bell bottoms dragging on the ground, a shiny polyester shirt unbuttoned to the navel with a massive pointed collar, a floor-length fur coat draped off the shoulders, platform shoes adding four inches, and a wide-brim hat cocked to the side. Place them in a professional photography studio with a deep burgundy seamless paper backdrop, one warm spotlight from the left casting a long shadow, and the floor reflecting the light. The mood channels global hip hop energy — neon-lit foreign city streets, cosmopolitan grit, the visual language of Tokyo, Paris, and London street culture blending together. In the style of Joe Conzo's block party documentation and early Jamel Shabazz street portraits. Shot on a Contax G2 with on-camera flash, Kodak Tri-X 400 black and white film pushed to 1600. Medium shot framed from the waist up. Harsh direct flash, deep blacks, gritty grain, documentary and unstaged. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
70s,International,1,props,"super wide bell bottoms dragging on the ground, a shiny polyester shirt unbuttoned to the navel with a massive pointed collar, a floor-length fur coat draped off the shoulders, platform shoes adding four inches, and a wide-brim hat cocked to the side","standing next to a massive wall of stacked speakers and amplifiers on a sidewalk, turntables set up on milk crates, cables running everywhere, a crowd forming behind — the original sound system culture","Take this exact person and place them into a hip hop album cover photograph. Change their clothes to super wide bell bottoms dragging on the ground, a shiny polyester shirt unbuttoned to the navel with a massive pointed collar, a floor-length fur coat draped off the shoulders, platform shoes adding four inches, and a wide-brim hat cocked to the side. They are standing next to a massive wall of stacked speakers and amplifiers on a sidewalk, turntables set up on milk crates, cables running everywhere, a crowd forming behind — the original sound system culture. The mood channels global hip hop energy — neon-lit foreign city streets, cosmopolitan grit, the visual language of Tokyo, Paris, and London street culture blending together. In the style of Joe Conzo's block party documentation and early Jamel Shabazz street portraits. Shot on a Contax G2 with on-camera flash, Kodak Tri-X 400 black and white film pushed to 1600. Medium shot framed from the waist up. Harsh direct flash, deep blacks, gritty grain, documentary and unstaged. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
70s,International,2,outdoor,"high-waisted flared trousers with a razor crease, a skin-tight ribbed turtleneck, a full-length leather trench coat belted at the waist, and knee-high leather boots with a chunky heel","a Harlem brownstone stoop in the dead of summer with a fire hydrant spraying into the street, laundry lines strung between buildings, and a long sedan parked at the curb with the doors open","Take this exact person and place them into a hip hop album cover photograph. Change their clothes to high-waisted flared trousers with a razor crease, a skin-tight ribbed turtleneck, a full-length leather trench coat belted at the waist, and knee-high leather boots with a chunky heel. Place them in front of a Harlem brownstone stoop in the dead of summer with a fire hydrant spraying into the street, laundry lines strung between buildings, and a long sedan parked at the curb with the doors open. The mood channels global hip hop energy — neon-lit foreign city streets, cosmopolitan grit, the visual language of Tokyo, Paris, and London street culture blending together. In the style of Joe Conzo's block party documentation and early Jamel Shabazz street portraits. Shot on a Contax G2 with on-camera flash, Kodak Tri-X 400 black and white film pushed to 1600. Medium shot framed from the waist up. Harsh direct flash, deep blacks, gritty grain, documentary and unstaged. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
70s,International,2,studio,"high-waisted flared trousers with a razor crease, a skin-tight ribbed turtleneck, a full-length leather trench coat belted at the waist, and knee-high leather boots with a chunky heel","a photography studio with a mustard yellow seamless backdrop lit with soft even light from both sides, a slight vignette at the edges, clean and warm","Take this exact person and place them into a hip hop album cover photograph. Change their clothes to high-waisted flared trousers with a razor crease, a skin-tight ribbed turtleneck, a full-length leather trench coat belted at the waist, and knee-high leather boots with a chunky heel. Place them in a photography studio with a mustard yellow seamless backdrop lit with soft even light from both sides, a slight vignette at the edges, clean and warm. The mood channels global hip hop energy — neon-lit foreign city streets, cosmopolitan grit, the visual language of Tokyo, Paris, and London street culture blending together. In the style of Joe Conzo's block party documentation and early Jamel Shabazz street portraits. Shot on a Contax G2 with on-camera flash, Kodak Tri-X 400 black and white film pushed to 1600. Medium shot framed from the waist up. Harsh direct flash, deep blacks, gritty grain, documentary and unstaged. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
70s,International,2,props,"high-waisted flared trousers with a razor crease, a skin-tight ribbed turtleneck, a full-length leather trench coat belted at the waist, and knee-high leather boots with a chunky heel","leaning on a customized van with an airbrushed mural on the side panel, chrome bumpers, and shag carpet visible through the open sliding door, parked on a city street at golden hour","Take this exact person and place them into a hip hop album cover photograph. Change their clothes to high-waisted flared trousers with a razor crease, a skin-tight ribbed turtleneck, a full-length leather trench coat belted at the waist, and knee-high leather boots with a chunky heel. They are leaning on a customized van with an airbrushed mural on the side panel, chrome bumpers, and shag carpet visible through the open sliding door, parked on a city street at golden hour. The mood channels global hip hop energy — neon-lit foreign city streets, cosmopolitan grit, the visual language of Tokyo, Paris, and London street culture blending together. In the style of Joe Conzo's block party documentation and early Jamel Shabazz street portraits. Shot on a Contax G2 with on-camera flash, Kodak Tri-X 400 black and white film pushed to 1600. Medium shot framed from the waist up. Harsh direct flash, deep blacks, gritty grain, documentary and unstaged. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
70s,International,3,outdoor,"an oversized dashiki hanging past the hips over extra-wide corduroy bell bottoms, a beaded kufi cap, wooden bead necklaces layered three deep, and suede desert boots","a concrete basketball court with chain-link fences and rust, project towers rising behind, the sky deep orange at sunset, and a circle of onlookers in the background","Take this exact person and place them into a hip hop album cover photograph. Change their clothes to an oversized dashiki hanging past the hips over extra-wide corduroy bell bottoms, a beaded kufi cap, wooden bead necklaces layered three deep, and suede desert boots. Place them in front of a concrete basketball court with chain-link fences and rust, project towers rising behind, the sky deep orange at sunset, and a circle of onlookers in the background. The mood channels global hip hop energy — neon-lit foreign city streets, cosmopolitan grit, the visual language of Tokyo, Paris, and London street culture blending together. In the style of Joe Conzo's block party documentation and early Jamel Shabazz street portraits. Shot on a Contax G2 with on-camera flash, Kodak Tri-X 400 black and white film pushed to 1600. Medium shot framed from the waist up. Harsh direct flash, deep blacks, gritty grain, documentary and unstaged. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
70s,International,3,studio,"an oversized dashiki hanging past the hips over extra-wide corduroy bell bottoms, a beaded kufi cap, wooden bead necklaces layered three deep, and suede desert boots",a photography studio with a jet black seamless backdrop and a single harsh spotlight from directly above creating dramatic shadows under the chin and hat brim,"Take this exact person and place them into a hip hop album cover photograph. Change their clothes to an oversized dashiki hanging past the hips over extra-wide corduroy bell bottoms, a beaded kufi cap, wooden bead necklaces layered three deep, and suede desert boots. Place them in a photography studio with a jet black seamless backdrop and a single harsh spotlight from directly above creating dramatic shadows under the chin and hat brim. The mood channels global hip hop energy — neon-lit foreign city streets, cosmopolitan grit, the visual language of Tokyo, Paris, and London street culture blending together. In the style of Joe Conzo's block party documentation and early Jamel Shabazz street portraits. Shot on a Contax G2 with on-camera flash, Kodak Tri-X 400 black and white film pushed to 1600. Medium shot framed from the waist up. Harsh direct flash, deep blacks, gritty grain, documentary and unstaged. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
70s,International,3,props,"an oversized dashiki hanging past the hips over extra-wide corduroy bell bottoms, a beaded kufi cap, wooden bead necklaces layered three deep, and suede desert boots","sitting on the hood of a long convertible Cadillac with the top down, parked on a Harlem block, eight-track tapes scattered on the dashboard, a fur coat draped over the windshield","Take this exact person and place them into a hip hop album cover photograph. Change their clothes to an oversized dashiki hanging past the hips over extra-wide corduroy bell bottoms, a beaded kufi cap, wooden bead necklaces layered three deep, and suede desert boots. They are sitting on the hood of a long convertible Cadillac with the top down, parked on a Harlem block, eight-track tapes scattered on the dashboard, a fur coat draped over the windshield. The mood channels global hip hop energy — neon-lit foreign city streets, cosmopolitan grit, the visual language of Tokyo, Paris, and London street culture blending together. In the style of Joe Conzo's block party documentation and early Jamel Shabazz street portraits. Shot on a Contax G2 with on-camera flash, Kodak Tri-X 400 black and white film pushed to 1600. Medium shot framed from the waist up. Harsh direct flash, deep blacks, gritty grain, documentary and unstaged. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
70s,International,4,outdoor,"a three-piece suit with lapels wide as airplane wings, a butterfly collar silk shirt, a pocket square bursting out the breast pocket, a fedora tilted way back, and two-tone spectator shoes","a vacant lot in the South Bronx with rubble and wildflowers pushing through cracked concrete, a burned-out tenement behind, and elevated train tracks casting shadows across everything","Take this exact person and place them into a hip hop album cover photograph. Change their clothes to a three-piece suit with lapels wide as airplane wings, a butterfly collar silk shirt, a pocket square bursting out the breast pocket, a fedora tilted way back, and two-tone spectator shoes. Place them in front of a vacant lot in the South Bronx with rubble and wildflowers pushing through cracked concrete, a burned-out tenement behind, and elevated train tracks casting shadows across everything. The mood channels global hip hop energy — neon-lit foreign city streets, cosmopolitan grit, the visual language of Tokyo, Paris, and London street culture blending together. In the style of Joe Conzo's block party documentation and early Jamel Shabazz street portraits. Shot on a Contax G2 with on-camera flash, Kodak Tri-X 400 black and white film pushed to 1600. Medium shot framed from the waist up. Harsh direct flash, deep blacks, gritty grain, documentary and unstaged. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
70s,International,4,studio,"a three-piece suit with lapels wide as airplane wings, a butterfly collar silk shirt, a pocket square bursting out the breast pocket, a fedora tilted way back, and two-tone spectator shoes","a photography studio with a burnt orange seamless backdrop and golden rim light from behind creating a halo around the silhouette, the front slightly underexposed","Take this exact person and place them into a hip hop album cover photograph. Change their clothes to a three-piece suit with lapels wide as airplane wings, a butterfly collar silk shirt, a pocket square bursting out the breast pocket, a fedora tilted way back, and two-tone spectator shoes. Place them in a photography studio with a burnt orange seamless backdrop and golden rim light from behind creating a halo around the silhouette, the front slightly underexposed. The mood channels global hip hop energy — neon-lit foreign city streets, cosmopolitan grit, the visual language of Tokyo, Paris, and London street culture blending together. In the style of Joe Conzo's block party documentation and early Jamel Shabazz street portraits. Shot on a Contax G2 with on-camera flash, Kodak Tri-X 400 black and white film pushed to 1600. Medium shot framed from the waist up. Harsh direct flash, deep blacks, gritty grain, documentary and unstaged. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
70s,International,4,props,"a three-piece suit with lapels wide as airplane wings, a butterfly collar silk shirt, a pocket square bursting out the breast pocket, a fedora tilted way back, and two-tone spectator shoes","standing in front of a wall of graffiti-covered subway cars in a train yard, holding a massive portable radio the size of a suitcase, spray cans stuffed in every pocket","Take this exact person and place them into a hip hop album cover photograph. Change their clothes to a three-piece suit with lapels wide as airplane wings, a butterfly collar silk shirt, a pocket square bursting out the breast pocket, a fedora tilted way back, and two-tone spectator shoes. They are standing in front of a wall of graffiti-covered subway cars in a train yard, holding a massive portable radio the size of a suitcase, spray cans stuffed in every pocket. The mood channels global hip hop energy — neon-lit foreign city streets, cosmopolitan grit, the visual language of Tokyo, Paris, and London street culture blending together. In the style of Joe Conzo's block party documentation and early Jamel Shabazz street portraits. Shot on a Contax G2 with on-camera flash, Kodak Tri-X 400 black and white film pushed to 1600. Medium shot framed from the waist up. Harsh direct flash, deep blacks, gritty grain, documentary and unstaged. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
