region,era_years,era_name,category,item_description
East Coast,2010-2016,A$AP & High Fashion Rap,Accessories,Maison Margiela Future high-top sneakers in white
East Coast,2010-2016,A$AP & High Fashion Rap,Accessories,Layered chains: short thin gold chain with longer pendant chain
East Coast,2010-2016,A$AP & High Fashion Rap,Accessories,Gold and diamond grillz on bottom teeth
East Coast,2010-2016,A$AP & High Fashion Rap,Accessories,"Multiple rings on every finger, mix of gold and silver"
East Coast,2016-Present,Luxury Streetwear & Post-Hype,Pants,Wide-leg tailored trousers in black wool
East Coast,2016-Present,Luxury Streetwear & Post-Hype,Pants,Relaxed-fit vintage denim jeans in faded medium wash
East Coast,2016-Present,Luxury Streetwear & Post-Hype,Pants,Slim-fit Bottega Veneta leather pants in dark green
East Coast,2016-Present,Luxury Streetwear & Post-Hype,Pants,Oversized cargo pants with multiple pockets in black
East Coast,2016-Present,Luxury Streetwear & Post-Hype,Pants,Slim-fit Prada nylon pants in black
East Coast,2016-Present,Luxury Streetwear & Post-Hype,Pants,"Relaxed-fit Dickies work pants in tan, archival revival"
East Coast,2016-Present,Luxury Streetwear & Post-Hype,Tops,Relaxed-fit Prada nylon zip jacket in black
East Coast,2016-Present,Luxury Streetwear & Post-Hype,Tops,Oversized vintage graphic tee in faded black
East Coast,2016-Present,Luxury Streetwear & Post-Hype,Tops,Oversized Marni floral-print camp collar shirt
East Coast,2016-Present,Luxury Streetwear & Post-Hype,Tops,Relaxed-fit Loewe puzzle-pattern knit sweater
East Coast,2016-Present,Luxury Streetwear & Post-Hype,Tops,Relaxed-fit Jil Sander oversized cotton tee in off-white
East Coast,2016-Present,Luxury Streetwear & Post-Hype,Tops,Oversized Rick Owens leather bomber jacket in black
East Coast,2016-Present,Luxury Streetwear & Post-Hype,Tops,Fitted knit balaclava in black
East Coast,2016-Present,Luxury Streetwear & Post-Hype,Tops,Relaxed-fit custom hand-dyed garment in muted earth tones
East Coast,2016-Present,Luxury Streetwear & Post-Hype,Accessories,Bottega Veneta Tire boots in black leather
East Coast,2016-Present,Luxury Streetwear & Post-Hype,Accessories,New Balance 550 sneakers in white and cream
East Coast,2016-Present,Luxury Streetwear & Post-Hype,Accessories,Salomon XT-6 sneakers in silver and black
East Coast,2016-Present,Luxury Streetwear & Post-Hype,Accessories,Layered silver chain necklaces in varying lengths
East Coast,2016-Present,Luxury Streetwear & Post-Hype,Accessories,Chrome Hearts cross pendant on silver chain
East Coast,2016-Present,Luxury Streetwear & Post-Hype,Accessories,Vivienne Westwood pearl choker necklace
East Coast,2016-Present,Luxury Streetwear & Post-Hype,Accessories,Canvas tote bag in black
East Coast,2016-Present,Luxury Streetwear & Post-Hype,Accessories,Archival Oakley razor blade sunglasses
South,1986-1995,"Bass, Bounce & Early Houston",Pants,Baggy dark-wash denim jeans with a loose straight leg
South,1986-1995,"Bass, Bounce & Early Houston",Pants,Baggy Girbaud jeans with shuttle buckle strap in medium wash
South,1986-1995,"Bass, Bounce & Early Houston",Pants,Relaxed-fit Guess jeans in light wash with triangle logo
South,1986-1995,"Bass, Bounce & Early Houston",Pants,Baggy pleated khaki pants with a wide leg
South,1986-1995,"Bass, Bounce & Early Houston",Pants,Baggy basketball shorts falling below the knee in team colors
South,1986-1995,"Bass, Bounce & Early Houston",Tops,Oversized Rap-A-Lot Records graphic tee in black
South,1986-1995,"Bass, Bounce & Early Houston",Tops,Oversized No Limit Records tank top in white with gold logo
South,1986-1995,"Bass, Bounce & Early Houston",Tops,Relaxed-fit airbrushed custom graphic tee with name and portrait
South,1986-1995,"Bass, Bounce & Early Houston",Tops,Very tall plain white tee in 3XL
South,1986-1995,"Bass, Bounce & Early Houston",Tops,Oversized Starter pullover jacket with Houston Rockets NBA logo
South,1986-1995,"Bass, Bounce & Early Houston",Tops,"Oversized Houston Rockets NBA jersey, early-1990s mesh with red and white"
South,1986-1995,"Bass, Bounce & Early Houston",Tops,"Oversized New Orleans Saints NFL jersey, early-1990s mesh with black and gold"
South,1986-1995,"Bass, Bounce & Early Houston",Tops,"Oversized Atlanta Braves MLB jersey, early-1990s mesh with navy and red tomahawk"
South,1986-1995,"Bass, Bounce & Early Houston",Accessories,"Gold fronts on front teeth, precursor to full grillz"
South,1986-1995,"Bass, Bounce & Early Houston",Accessories,"Gold rope chain necklace, medium gauge"
South,1986-1995,"Bass, Bounce & Early Houston",Accessories,Kangol bucket hat in black
South,1986-1995,"Bass, Bounce & Early Houston",Accessories,Nike Air Max 90 sneakers in white and infrared
South,1986-1995,"Bass, Bounce & Early Houston",Accessories,Nike Air Max 95 sneakers in neon green and black
South,1986-1995,"Bass, Bounce & Early Houston",Accessories,Reebok Classic Leather sneakers in all white
South,1986-1995,"Bass, Bounce & Early Houston",Accessories,Motorola beeper clipped to waistband
South,1986-1995,"Bass, Bounce & Early Houston",Accessories,High-top fade haircut
South,1995-2001,"No Limit, Cash Money & Screwed Up",Pants,Very baggy Girbaud jeans with shuttle buckle in light wash
South,1995-2001,"No Limit, Cash Money & Screwed Up",Pants,Very baggy denim shorts falling below the knee in dark wash
South,1995-2001,"No Limit, Cash Money & Screwed Up",Pants,Very baggy Dickies work pants in charcoal
South,1995-2001,"No Limit, Cash Money & Screwed Up",Pants,"Very wide-leg jeans in medium wash, JNCO-adjacent cut"
South,1995-2001,"No Limit, Cash Money & Screwed Up",Pants,Very baggy camouflage cargo pants in woodland camo
South,1995-2001,"No Limit, Cash Money & Screwed Up",Tops,Oversized No Limit Records soldier tank top in olive drab
South,1995-2001,"No Limit, Cash Money & Screwed Up",Tops,Oversized camouflage matching set jacket and pants in woodland camo
South,1995-2001,"No Limit, Cash Money & Screwed Up",Tops,Oversized custom screen-printed jersey with No Limit branding
South,1995-2001,"No Limit, Cash Money & Screwed Up",Tops,"Very tall plain white tee in 4XL, getting taller"
South,1995-2001,"No Limit, Cash Money & Screwed Up",Tops,Oversized NBA throwback jersey in retro Houston Rockets design
South,1995-2001,"No Limit, Cash Money & Screwed Up",Tops,Oversized NFL throwback jersey in retro New Orleans Saints design
South,1995-2001,"No Limit, Cash Money & Screwed Up",Tops,Oversized polo shirt with popped collar in bright color
South,1995-2001,"No Limit, Cash Money & Screwed Up",Tops,"Oversized Coogi sweater in multi-color knit, Houston adoption"
South,1995-2001,"No Limit, Cash Money & Screwed Up",Accessories,Full gold grillz set covering top and bottom teeth
South,1995-2001,"No Limit, Cash Money & Screwed Up",Accessories,Full platinum grillz set covering top and bottom teeth
South,1995-2001,"No Limit, Cash Money & Screwed Up",Accessories,"Iced-out diamond medallion pendant on platinum chain, Cash Money era"
South,1995-2001,"No Limit, Cash Money & Screwed Up",Accessories,All-white Nike Air Force 1 low-top sneakers
South,1995-2001,"No Limit, Cash Money & Screwed Up",Accessories,Reebok Classic Leather sneakers in all white
South,1995-2001,"No Limit, Cash Money & Screwed Up",Accessories,New Era fitted cap in team colors
South,1995-2001,"No Limit, Cash Money & Screwed Up",Accessories,Trucker hat with mesh back in camo print
South,1995-2001,"No Limit, Cash Money & Screwed Up",Accessories,Diamond-encrusted platinum watch
South,2001-2006,Crunk & Early Trap,Pants,"Very baggy jeans in dark indigo, still dominant Southern silhouette"
South,2001-2006,Crunk & Early Trap,Pants,Baggy denim shorts below the knee in medium wash
South,2001-2006,Crunk & Early Trap,Pants,Baggy basketball shorts with compression shorts underneath
South,2001-2006,Crunk & Early Trap,Pants,Baggy Akademiks denim jeans with logo embroidery
South,2001-2006,Crunk & Early Trap,Pants,Baggy Rocawear jeans in dark wash
South,2001-2006,Crunk & Early Trap,Tops,"Very oversized white tee in 5XL, ATL cultural statement"
South,2001-2006,Crunk & Early Trap,Tops,"Very oversized plain colored tee in red, 5XL"
South,2001-2006,Crunk & Early Trap,Tops,"Very oversized plain colored tee in royal blue, 5XL"
South,2001-2006,Crunk & Early Trap,Tops,Oversized NBA throwback jersey in retro Atlanta Hawks design with bright red and yellow
South,2001-2006,Crunk & Early Trap,Tops,Oversized NFL throwback jersey in retro Atlanta Falcons design in red and black
South,2001-2006,Crunk & Early Trap,Tops,Relaxed-fit velour tracksuit jacket with zip front in black
South,2001-2006,Crunk & Early Trap,Tops,Relaxed-fit Lacoste polo shirt in solid bright color
South,2001-2006,Crunk & Early Trap,Tops,Oversized camo jacket in woodland print
South,2001-2006,Crunk & Early Trap,Tops,Oversized fur-trimmed parka coat in black
South,2001-2006,Crunk & Early Trap,Accessories,Oversized custom diamond pendant chain (Gucci Mane ice cream cone style)
South,2001-2006,Crunk & Early Trap,Accessories,Full diamond and gold grillz set on top and bottom teeth
South,2001-2006,Crunk & Early Trap,Accessories,New Era 59FIFTY fitted cap with flat brim in Atlanta Braves colors
South,2001-2006,Crunk & Early Trap,Accessories,Air Jordan 11 Retro sneakers in Bred colorway
South,2001-2006,Crunk & Early Trap,Accessories,Air Jordan 12 Retro sneakers in Taxi colorway
South,2001-2006,Crunk & Early Trap,Accessories,Oversized stunner shades with rhinestone detailing
South,2001-2006,Crunk & Early Trap,Accessories,Large diamond stud earrings in both ears
South,2006-2012,"Snap, Trap & Mixtape Era",Pants,"Skinny-fit jeans entering Southern rap, Lil Wayne influence"
South,2006-2012,"Snap, Trap & Mixtape Era",Pants,Ultra-skinny painted-on Tripp pants in black with chains
South,2006-2012,"Snap, Trap & Mixtape Era",Pants,Skinny-fit colored denim jeans in bright red
South,2006-2012,"Snap, Trap & Mixtape Era",Pants,Skinny-fit colored denim jeans in neon green
South,2006-2012,"Snap, Trap & Mixtape Era",Pants,Slim-fit Robin's Jeans with rhinestone-studded back pockets
South,2006-2012,"Snap, Trap & Mixtape Era",Tops,Relaxed-fit Ed Hardy graphic tee with tattoo-inspired prints
South,2006-2012,"Snap, Trap & Mixtape Era",Tops,Relaxed-fit Affliction graphic tee with distressed prints
South,2006-2012,"Snap, Trap & Mixtape Era",Tops,"Oversized Gucci monogram print tee, Gucci Mane lifestyle era"
South,2006-2012,"Snap, Trap & Mixtape Era",Tops,Oversized Gucci belt-logo hoodie in black
South,2006-2012,"Snap, Trap & Mixtape Era",Tops,Relaxed-fit scarf-style bandana wrapped around the head
South,2006-2012,"Snap, Trap & Mixtape Era",Tops,Fitted studded leather vest over a plain tee
South,2006-2012,"Snap, Trap & Mixtape Era",Tops,Oversized Coogi sweater revival in multi-color knit
South,2006-2012,"Snap, Trap & Mixtape Era",Accessories,Air Jordan Retro sneakers in rotating limited colorways
South,2006-2012,"Snap, Trap & Mixtape Era",Accessories,"Diamond Audemars Piguet Royal Oak watch, aspirational luxury"
South,2006-2012,"Snap, Trap & Mixtape Era",Accessories,Oversized rhinestone-studded belt buckle
South,2006-2012,"Snap, Trap & Mixtape Era",Accessories,"Long dreadlocks past the shoulders, Lil Wayne influence"
South,2006-2012,"Snap, Trap & Mixtape Era",Accessories,"Face tattoos, early adoption as personal branding"
South,2006-2012,"Snap, Trap & Mixtape Era",Accessories,Lean-purple-inspired accessories and clothing accents
South,2012-2017,Trap Goes Mainstream,Pants,"Ultra-skinny jeans in black, Young Thug and Future silhouette"
South,2012-2017,Trap Goes Mainstream,Pants,Slim-fit distressed and ripped denim jeans with heavy knee blowouts
South,2012-2017,Trap Goes Mainstream,Pants,Slim-fit Amiri jeans with shotgun-blast distressing in medium wash
South,2012-2017,Trap Goes Mainstream,Pants,Slim-fit black leather pants with moto-style ribbing
South,2012-2017,Trap Goes Mainstream,Pants,Slim-fit Balmain biker jeans with ribbed knee panels in black
South,2012-2017,Trap Goes Mainstream,Tops,Oversized pullover hoodie in distressed cotton
South,2012-2017,Trap Goes Mainstream,Tops,Oversized Vetements oversized-fit hoodie with logo print
South,2012-2017,Trap Goes Mainstream,Tops,Oversized Off-White diagonal-stripe tee in white
South,2012-2017,Trap Goes Mainstream,Tops,"Relaxed-fit tour merch graphic tee, concert as fashion"
South,2012-2017,Trap Goes Mainstream,Tops,"Relaxed-fit vintage band tee, faded and distressed"
South,2012-2017,Trap Goes Mainstream,Tops,"Full-length fur coat in white, Gucci Mane and 2 Chainz era"
South,2012-2017,Trap Goes Mainstream,Tops,Oversized camouflage jacket in desert camo print
South,2012-2017,Trap Goes Mainstream,Accessories,Christian Louboutin red-bottom sneakers in black leather with spikes
South,2012-2017,Trap Goes Mainstream,Accessories,Air Jordan 1 Retro high-top sneakers in banned colorway
South,2012-2017,Trap Goes Mainstream,Accessories,Air Jordan 4 Retro sneakers in white cement colorway
South,2012-2017,Trap Goes Mainstream,Accessories,Audemars Piguet Royal Oak watch in rose gold with diamond bezel
South,2012-2017,Trap Goes Mainstream,Accessories,Fully iced-out diamond Cuban link chain necklace
South,2012-2017,Trap Goes Mainstream,Accessories,Face tattoos normalized as standard expression
South,2012-2017,Trap Goes Mainstream,Accessories,Colored dreadlocks in bright red and blonde
South,2012-2017,Trap Goes Mainstream,Accessories,Colored dreadlocks in purple and blue
South,2017-Present,ATL Dominance & New South,Pants,Wide-leg pants returning in oversized silhouette
South,2017-Present,ATL Dominance & New South,Pants,Very baggy Rick Owens drop-crotch pants in black
South,2017-Present,ATL Dominance & New South,Pants,Oversized Balenciaga wide-leg denim jeans in faded wash
South,2017-Present,ATL Dominance & New South,Pants,Relaxed-fit Issey Miyake Homme Plissé pleated pants in black
South,2017-Present,ATL Dominance & New South,Pants,"Custom-fit leather pants in black, one-of-one pieces"
South,2017-Present,ATL Dominance & New South,Pants,"Relaxed-fit vintage Wrangler jeans in medium wash, country-trap crossover"
South,2017-Present,ATL Dominance & New South,Tops,Tailored Thom Browne suit jacket with grosgrain trim in gray
South,2017-Present,ATL Dominance & New South,Tops,"Oversized Rick Owens leather jacket in black, Playboi Carti uniform"
South,2017-Present,ATL Dominance & New South,Tops,Oversized Balenciaga logo hoodie in washed black
South,2017-Present,ATL Dominance & New South,Tops,Oversized Maison Margiela deconstructed blazer
South,2017-Present,ATL Dominance & New South,Tops,"Custom one-of-one designer top, handmade for the artist"
South,2017-Present,ATL Dominance & New South,Tops,Oversized vintage sportswear crewneck sweatshirt in faded colorway
South,2017-Present,ATL Dominance & New South,Tops,Relaxed-fit mesh or sheer top in black
South,2017-Present,ATL Dominance & New South,Tops,"Relaxed-fit skirt or kilt worn over pants, Young Thug and Carti influence"
South,2017-Present,ATL Dominance & New South,Accessories,Rick Owens Ramones high-top sneakers in black
South,2017-Present,ATL Dominance & New South,Accessories,Balenciaga Triple S sneakers in gray and red
South,2017-Present,ATL Dominance & New South,Accessories,Balenciaga Track sneakers in black and orange
South,2017-Present,ATL Dominance & New South,Accessories,Chrome Hearts cross pendant on silver chain
South,2017-Present,ATL Dominance & New South,Accessories,Chrome Hearts dagger ring in sterling silver
South,2017-Present,ATL Dominance & New South,Accessories,Chrome Hearts plus-sign earring in sterling silver
South,2017-Present,ATL Dominance & New South,Accessories,"Pearl necklace on a male rapper, Young Thug influence"
South,2017-Present,ATL Dominance & New South,Accessories,Painted fingernails in black or bright colors
South,2017-Present,ATL Dominance & New South,Accessories,Spike-studded jewelry: bracelets and chokers
South,2017-Present,ATL Dominance & New South,Accessories,Custom diamond pendant by Eliantte jeweler
Midwest,1988-1997,Early Midwest Underground,Pants,Baggy jeans in dark indigo with a straight leg
Midwest,1988-1997,Early Midwest Underground,Pants,Relaxed-fit Carhartt double-front work pants in brown duck
Midwest,1988-1997,Early Midwest Underground,Pants,Very baggy Dickies work pants in charcoal
Midwest,1988-1997,Early Midwest Underground,Pants,Very baggy Karl Kani jeans with embroidered logo
Midwest,1988-1997,Early Midwest Underground,Pants,Baggy denim overalls with one strap down in medium wash
Midwest,1988-1997,Early Midwest Underground,Pants,Relaxed-fit khaki pants in Timberland-matching tan
Midwest,1988-1997,Early Midwest Underground,Tops,Relaxed-fit Carhartt hooded jacket in brown duck canvas
Midwest,1988-1997,Early Midwest Underground,Tops,Oversized hooded sweatshirt in heather gray
Midwest,1988-1997,Early Midwest Underground,Tops,"Oversized Chicago Bulls NBA jersey, 1990s mesh with red and black, Michael Jordan era"
Midwest,1988-1997,Early Midwest Underground,Tops,"Oversized Detroit Pistons NBA jersey, 1990s mesh with teal and red, Bad Boys era"
Midwest,1988-1997,Early Midwest Underground,Tops,"Oversized Indiana Pacers NBA jersey, 1990s mesh with navy and gold, Reggie Miller era"
Midwest,1988-1997,Early Midwest Underground,Tops,Oversized graphic tee with regional hip-hop label logo
Midwest,1988-1997,Early Midwest Underground,Tops,Oversized Starter pullover jacket with Chicago Bears NFL logo
Midwest,1988-1997,Early Midwest Underground,Tops,Relaxed-fit flannel shirt in red and black plaid
Midwest,1988-1997,Early Midwest Underground,Accessories,Timberland 6-inch premium boots in wheat nubuck
Midwest,1988-1997,Early Midwest Underground,Accessories,Nike Air Max 95 sneakers in black and neon
Midwest,1988-1997,Early Midwest Underground,Accessories,New Era fitted cap with Chicago Bulls logo
Midwest,1988-1997,Early Midwest Underground,Accessories,New Era fitted cap with Detroit Pistons logo
Midwest,1988-1997,Early Midwest Underground,Accessories,"Gold chain necklace, medium gauge"
Midwest,1988-1997,Early Midwest Underground,Accessories,Motorola beeper clipped to waistband
Midwest,1988-1997,Early Midwest Underground,Accessories,"Cartier C Décor glasses with gold wire frames, Detroit early adoption"
Midwest,1997-2004,Backpack & Midwest Rise,Pants,"Baggy jeans in medium wash, moderate bagginess compared to coasts"
Midwest,1997-2004,Backpack & Midwest Rise,Pants,Relaxed-fit cargo pants in olive green
Midwest,1997-2004,Backpack & Midwest Rise,Pants,Relaxed-fit khaki chinos
Midwest,1997-2004,Backpack & Midwest Rise,Pants,Baggy Rocawear denim jeans with logo stitching
Midwest,1997-2004,Backpack & Midwest Rise,Pants,Baggy Ecko Unlimited denim jeans with rhino embroidery
Midwest,1997-2004,Backpack & Midwest Rise,Tops,Relaxed-fit earth-tone pullover hoodie in olive or brown
Midwest,1997-2004,Backpack & Midwest Rise,Tops,Relaxed-fit army surplus field jacket in olive drab
Midwest,1997-2004,Backpack & Midwest Rise,Tops,Relaxed-fit vintage graphic tee in faded earth tones
Midwest,1997-2004,Backpack & Midwest Rise,Tops,Fitted polo shirt in solid color
Midwest,1997-2004,Backpack & Midwest Rise,Tops,Relaxed-fit hoodie layered under a denim jacket
Midwest,1997-2004,Backpack & Midwest Rise,Tops,"Relaxed-fit leather jacket paired with a scarf, Common's bohemian aesthetic"
Midwest,1997-2004,Backpack & Midwest Rise,Accessories,Clarks Wallabee shoes in sand suede
Midwest,1997-2004,Backpack & Midwest Rise,Accessories,Air Jordan Retro sneakers in classic colorways
Midwest,1997-2004,Backpack & Midwest Rise,Accessories,"Canvas messenger bag slung cross-body, backpacker staple"
Midwest,1997-2004,Backpack & Midwest Rise,Accessories,Wooden bead necklace with African-inspired pendant
Midwest,1997-2004,Backpack & Midwest Rise,Accessories,Afrocentric silver ring with ankh symbol
Midwest,1997-2004,Backpack & Midwest Rise,Accessories,Trucker hat with mesh back in vintage style
Midwest,1997-2004,Backpack & Midwest Rise,Accessories,Modest thin gold chain necklace
Midwest,2004-2010,Kanye Disruption,Pants,"Skinny-fit jeans in dark indigo, Kanye made skinny acceptable in hip-hop"
Midwest,2004-2010,Kanye Disruption,Pants,Tailored slim chinos in khaki
Midwest,2004-2010,Kanye Disruption,Pants,Skinny-fit colored denim jeans in bright pink
Midwest,2004-2010,Kanye Disruption,Pants,Skinny-fit colored denim jeans in sky blue
Midwest,2004-2010,Kanye Disruption,Pants,Baggy Bathing Ape (BAPE) camo pants in green camo
Midwest,2004-2010,Kanye Disruption,Pants,Slim-fit Louis Vuitton monogram printed pants
Midwest,2004-2010,Kanye Disruption,Tops,Preppy popped-collar polo shirt layered two to three deep in contrasting pastels
Midwest,2004-2010,Kanye Disruption,Tops,Tailored blazer worn with sneakers and a graphic tee underneath
Midwest,2004-2010,Kanye Disruption,Tops,Oversized Louis Vuitton monogram print jacket
Midwest,2004-2010,Kanye Disruption,Tops,Relaxed-fit pastel-color cardigan sweater over a collared shirt
Midwest,2004-2010,Kanye Disruption,Tops,Relaxed-fit Louis Vuitton backpack worn as a fashion statement over both shoulders
Midwest,2004-2010,Kanye Disruption,Tops,Kanye West shutter shades with slotted plastic lenses in white
Midwest,2004-2010,Kanye Disruption,Tops,Fitted prep school-style argyle sweater vest over a white button-down
Midwest,2004-2010,Kanye Disruption,Accessories,Louis Vuitton monogram backpack
Midwest,2004-2010,Kanye Disruption,Accessories,Louis Vuitton keepall duffle bag
Midwest,2004-2010,Kanye Disruption,Accessories,Air Jordan Retro sneakers paired with blazers
Midwest,2004-2010,Kanye Disruption,Accessories,"Nike Air Yeezy 1 sneakers in black and pink, 2009 game-changer"
Midwest,2004-2010,Kanye Disruption,Accessories,Oversized aviator sunglasses with gold frames
Midwest,2004-2010,Kanye Disruption,Accessories,Kanye West shutter shades in white
Midwest,2004-2010,Kanye Disruption,Accessories,Diamond-encrusted Jacob & Co watch
Midwest,2010-2015,Drill & Yeezus Era,Pants,"Slim-fit black leather pants, Kanye Yeezus tour silhouette"
Midwest,2010-2015,Drill & Yeezus Era,Pants,"Skinny-fit black jeans, Chicago drill uniform"
Midwest,2010-2015,Drill & Yeezus Era,Pants,Slim-fit distressed denim jeans with rips at the knee
Midwest,2010-2015,Drill & Yeezus Era,Pants,Slim-fit jogger pants with elastic cuffs in black
Midwest,2010-2015,Drill & Yeezus Era,Pants,Very baggy drop-crotch pants in earth-tone neutrals
Midwest,2010-2015,Drill & Yeezus Era,Pants,Slim-fit Yeezy Season sweatpants in sand
Midwest,2010-2015,Drill & Yeezus Era,Tops,"Oversized black pullover hoodie, Chicago drill uniform staple"
Midwest,2010-2015,Drill & Yeezus Era,Tops,Oversized parka coat in black with fur-trimmed hood
Midwest,2010-2015,Drill & Yeezus Era,Tops,Relaxed-fit MA-1 bomber jacket in olive green nylon
Midwest,2010-2015,Drill & Yeezus Era,Tops,Oversized Pyrex Vision flannel shirt by Virgil Abloh
Midwest,2010-2015,Drill & Yeezus Era,Tops,"Relaxed-fit plain earth-tone tee in sand, Yeezy aesthetic"
Midwest,2010-2015,Drill & Yeezus Era,Tops,"Relaxed-fit plain earth-tone tee in military olive, Yeezy aesthetic"
Midwest,2010-2015,Drill & Yeezus Era,Tops,Oversized Yeezy Season prototype hoodie in dark gray
Midwest,2010-2015,Drill & Yeezus Era,Tops,"Black ski mask pulled over face, drill aesthetic"
Midwest,2010-2015,Drill & Yeezus Era,Accessories,Adidas Yeezy Boost 350 sneakers in Turtle Dove colorway
Midwest,2010-2015,Drill & Yeezus Era,Accessories,Adidas Yeezy Boost 350 sneakers in Pirate Black colorway
Midwest,2010-2015,Drill & Yeezus Era,Accessories,Nike Roshe Run sneakers in black and white
Midwest,2010-2015,Drill & Yeezus Era,Accessories,Nike Foamposite sneakers in galaxy print
Midwest,2010-2015,Drill & Yeezus Era,Accessories,Black ski mask covering entire face except eyes
Midwest,2010-2015,Drill & Yeezus Era,Accessories,Face tattoos as standard drill-scene expression
Midwest,2010-2015,Drill & Yeezus Era,Accessories,Minimalist thin gold chain necklace
Midwest,2010-2015,Drill & Yeezus Era,Accessories,Medium-length dreadlocks
Midwest,2015-2020,Yeezy Empire & Chicago Drill 2.0,Pants,Relaxed-fit Yeezy Season sweatpants in earth-tone neutrals
Midwest,2015-2020,Yeezy Empire & Chicago Drill 2.0,Pants,Baggy military-style cargo pants in olive drab
Midwest,2015-2020,Yeezy Empire & Chicago Drill 2.0,Pants,Oversized sweatpants with a dropped crotch in faded black
Midwest,2015-2020,Yeezy Empire & Chicago Drill 2.0,Pants,Slim-fit distressed denim jeans in faded wash
Midwest,2015-2020,Yeezy Empire & Chicago Drill 2.0,Pants,Slim-fit Adidas Calabasas track pants with side-stripe in burgundy
Midwest,2015-2020,Yeezy Empire & Chicago Drill 2.0,Pants,Slim-fit Adidas Calabasas track pants with side-stripe in gray
Midwest,2015-2020,Yeezy Empire & Chicago Drill 2.0,Tops,Oversized Yeezy Season pullover hoodie in sand
Midwest,2015-2020,Yeezy Empire & Chicago Drill 2.0,Tops,Oversized Yeezy Season military-inspired jacket in olive
Midwest,2015-2020,Yeezy Empire & Chicago Drill 2.0,Tops,Relaxed-fit Carhartt WIP hooded jacket in black
Midwest,2015-2020,Yeezy Empire & Chicago Drill 2.0,Tops,Relaxed-fit military-inspired field jacket in camo
Midwest,2015-2020,Yeezy Empire & Chicago Drill 2.0,Tops,Relaxed-fit blank earth-tone tee in clay
Midwest,2015-2020,Yeezy Empire & Chicago Drill 2.0,Tops,Oversized puffer jacket in matte black
Midwest,2015-2020,Yeezy Empire & Chicago Drill 2.0,Tops,"Oversized Off-White diagonal-arrow hoodie, Virgil Abloh Chicago connection"
Midwest,2015-2020,Yeezy Empire & Chicago Drill 2.0,Accessories,Adidas Yeezy Boost 350 V2 sneakers in Zebra colorway
Midwest,2015-2020,Yeezy Empire & Chicago Drill 2.0,Accessories,Adidas Yeezy 700 sneakers in Wave Runner colorway
Midwest,2015-2020,Yeezy Empire & Chicago Drill 2.0,Accessories,Adidas Yeezy 500 sneakers in Blush colorway
Midwest,2015-2020,Yeezy Empire & Chicago Drill 2.0,Accessories,Off-White x Nike Air Presto sneakers in white
Midwest,2015-2020,Yeezy Empire & Chicago Drill 2.0,Accessories,Off-White x Nike Air Jordan 1 sneakers in Chicago colorway
Midwest,2015-2020,Yeezy Empire & Chicago Drill 2.0,Accessories,"Minimalist gold jewelry, single thin chain"
Midwest,2015-2020,Yeezy Empire & Chicago Drill 2.0,Accessories,Unstructured dad hat in washed neutral color
Midwest,2015-2020,Yeezy Empire & Chicago Drill 2.0,Accessories,Black knit balaclava pulled over head
Midwest,2015-2020,Yeezy Empire & Chicago Drill 2.0,Accessories,"Cartier C Décor buffalo glasses with gold wire frames, Detroit influence spreading"
Midwest,2020-Present,Post-Kanye & New Chicago,Pants,Wide-leg cargo pants with oversized pockets in black
Midwest,2020-Present,Post-Kanye & New Chicago,Pants,Relaxed-fit vintage Carhartt work pants in faded brown
Midwest,2020-Present,Post-Kanye & New Chicago,Pants,Relaxed-fit straight-leg denim jeans in medium wash
Midwest,2020-Present,Post-Kanye & New Chicago,Pants,Oversized Balenciaga wide-leg trousers in black
Midwest,2020-Present,Post-Kanye & New Chicago,Pants,Relaxed-fit archival Japanese selvedge denim jeans in raw indigo
Midwest,2020-Present,Post-Kanye & New Chicago,Tops,Oversized vintage sportswear crewneck in faded colorway
Midwest,2020-Present,Post-Kanye & New Chicago,Tops,Oversized distressed pullover hoodie in washed black
Midwest,2020-Present,Post-Kanye & New Chicago,Tops,Relaxed-fit layered earth-tone outfit: tee under overshirt under jacket
Midwest,2020-Present,Post-Kanye & New Chicago,Tops,Relaxed-fit Marni graphic knit sweater in multi-color
Midwest,2020-Present,Post-Kanye & New Chicago,Tops,Relaxed-fit Jil Sander oversized cotton shirt in cream
Midwest,2020-Present,Post-Kanye & New Chicago,Tops,"Fitted leather jacket in black, vintage motorcycle style"
Midwest,2020-Present,Post-Kanye & New Chicago,Tops,Relaxed-fit Carhartt chore coat in faded duck canvas
Midwest,2020-Present,Post-Kanye & New Chicago,Accessories,New Balance 990v5 sneakers in gray
Midwest,2020-Present,Post-Kanye & New Chicago,Accessories,New Balance 2002R sneakers in protection pack colorway
Midwest,2020-Present,Post-Kanye & New Chicago,Accessories,Asics Gel-Kayano 14 sneakers in silver
Midwest,2020-Present,Post-Kanye & New Chicago,Accessories,Salomon XT-6 sneakers in black and silver
Midwest,2020-Present,Post-Kanye & New Chicago,Accessories,Chrome Hearts silver chain necklace with cross pendant
Midwest,2020-Present,Post-Kanye & New Chicago,Accessories,Layered silver chain necklaces in varying gauges
Midwest,2020-Present,Post-Kanye & New Chicago,Accessories,Vintage Seiko automatic watch on leather strap
Midwest,2020-Present,Post-Kanye & New Chicago,Accessories,Canvas tote bag in natural or black
